id,name,slug,color,created_at
8,文案助手,wenan,#EF4444,2025-12-20 09:10:14.435301+00
9,职场生存,workplace_survival_rules,#3B82F6,2025-12-20 09:30:19.928148+00
10,思维模型,mental_model,#F97316,2025-12-20 09:31:47.291142+00
11,产品研发,product_development,#06B6D4,2025-12-20 09:33:19.266249+00
12,编程,coding,#6366F1,2025-12-20 09:34:13.307277+00
13,绘画,painting,#EAB308,2025-12-20 09:35:41.808079+00
14,学习辅助,study,#8B5CF6,2025-12-20 12:16:02.10192+00
15,摸鱼辅助,m,#10B981,2025-12-20 12:23:32.569558+00
16,coze,coze,#22C55E,2025-12-20 12:49:02.359361+00
